ステージID,識別ID,パス,拡張子,"常駐フラグ(0:F,1:T)",BGMかどうか
SCENE_TITLE,M_CRYSTAL,data/model/stage/crystal,.mv1,1,
SCENE_TITLE,M_CRYSTALSTAND,data/model/stage/crystalStand,.mv1,1,
SCENE_TITLE,M_FRAME,data/model/stage/doorFrame,.mv1,1,
SCENE_TITLE,M_FLOOR,data/model/stage/floor,.mv1,1,
SCENE_TITLE,M_WALL,data/model/stage/wall,.mv1,1,
SCENE_TITLE,M_WALLCOLOR,data/model/stage/wallColor,.mv1,1,
SCENE_TITLE,M_STAIRS,data/model/stage/stairs,.mv1,1,
SCENE_TITLE,M_SMOOTHBLOCK,data/model/stage/smoothBlock,.mv1,1,
SCENE_TITLE,M_WINDOWGATE,data/model/stage/windowGate,.mv1,1,
SCENE_TITLE,M_WALLDECB,data/model/stage/wallDecorationB,.mv1,1,
SCENE_TITLE,M_PILLAR,data/model/stage/pillar,.mv1,1,
SCENE_TITLE,M_FENCE,data/model/stage/fence,.mv1,1,
SCENE_TITLE,M_ENEMYNORMAL,data/model/character/enemy/orc,.mv1,1,
SCENE_TITLE,P_SHADER,data/shader/PixelShader,.pso,1,
SCENE_TITLE,V_SHADER,data/shader/VertexShader,.vso,1,
SCENE_TITLE,I_NOIZETEX,data/img/noize,.png,1,
SCENE_TITLE,M_STAGECOLLISIONTITLE,data/model/stage/Collision/titleCol,.mv1,0,
SCENE_TITLE,I_ROGO,data/img/rogo,.png,0,
SCENE_TITLE,E_CRYSTALDEFAULT,data/effect/crystal_default,.efk,1,
SCENE_TITLE,E_CRYSTALLIGHTNING,data/effect/crystal_lightning,.efk,1,
SCENE_TITLE,I_BUTTON,data/img/ui_button,.png,0,
SCENE_TITLE,M_BANNER,data/model/stage/banner,.mv1,1,
SCENE_TITLE,M_TORCH,data/model/stage/torchWall,.mv1,1,
SCENE_TITLE,E_TORCHFIRE,data/effect/torch_fire,.efk,0,
SCENE_TITLE,S_CURSORMOVE,data/sound/se/select,.mp3,0,0
SCENE_TITLE,S_CURSORENTER,data/sound/se/enter,.mp3,0,0
SCENE_TITLE,S_TITLEBGM,data/sound/bgm/title,.mp3,1,1
SCENE_TITLE,S_CRYSTALHIT,data/sound/se/crystal_hit,.mp3,1,0
SCENE_TITLE,E_WARNINGAREA,data/effect/warningArea,.efk,1,
,,,,,
SCENE_STAGESELECT,I_BIGWINDOW,data/img/ui_bigWindow,.png,0,
SCENE_STAGESELECT,I_SMALLWINDOW,data/img/ui_smallWindow,.png,0,
SCENE_STAGESELECT,I_OPERATION,data/img/OperationExplanation,.png,1,
SCENE_STAGESELECT,I_STAGE1MINIMAP,data/img/stage1_minimap,.png,0,
